bfinh,bfioh,bfieh,bfiah,bfich,bfiae,bfiaa,bfiac,bfian,bfiao,wallposts,portraits,imp_avs,friends,likes_portrait,sex,age,selfesteem
188,300,338,344,267,4.2,3,3.89,1.88,3.7,1,3,0,94,18,1,21,2.5
288,430,300,378,389,3.8,3.44,4.44,1.38,4.4,28,5,4,120,14,2,22,3.5
263,410,375,367,311,4.2,4,4.33,1.88,4.4,54,9,0,310,31,2,19,3.2
300,410,350,356,400,4.4,4,4.89,2.13,4.5,23,12,1,405,62,2,19,3.4
313,260,288,300,289,4.4,3.89,4.33,1.5,3.8,73,3,0,106,46,2,18,3.1
338,290,350,333,344,4.2,3.89,4.33,2.25,3.7,2,1,0,228,28,2,19,2.8
325,400,375,433,411,4.2,4.44,4.33,1.88,4.5,156,41,12,125,12,2,22,3
288,430,425,389,322,5,4.11,4.56,1.38,4.2,73,1,0,332,28,1,21,3.3
300,290,325,367,222,4,4.33,3.89,2.13,4.5,3,5,0,226,7,1,17,3.2
488,230,150,256,278,3.2,4,4.56,1.5,3.7,97,3,3,143,9,1,21,1.7
388,210,338,289,400,4.8,3.67,4.89,1.63,4,69,5,0,225,8,1,20,3
250,270,263,378,333,4.6,4.11,5,1.75,4.3,3,7,0,172,47,2,18,3.8
350,370,300,378,311,4.4,4.89,4.89,1.75,4.6,5,7,1,199,19,2,21,3.4
200,440,388,467,267,4.6,4.67,4,1.38,4.5,0,2,0,107,8,2,18,3.4
338,410,325,344,356,4.4,4,4.22,2,4.2,24,29,1,152,23,2,19,3.1
188,250,275,344,289,4,3.44,4.22,1.75,3.4,55,34,0,433,37,2,20,2.8
213,300,363,333,367,4.2,4.11,4.22,1.63,3.5,26,3,0,467,42,1,19,3.4
388,410,163,411,300,3,4.11,4.11,2.13,4.7,53,2,2,123,12,2,20,2.3
488,420,388,311,333,5,4.67,4.56,1.25,4.3,15,21,0,261,18,2,18,3.2
338,390,463,244,278,5,4.22,4.89,1,4.8,20,9,0,277,7,1,21,3.8
338,400,300,344,300,4.8,4,4.33,1.5,4.4,90,6,1,223,33,2,21,2.7
275,370,238,311,289,4,4.56,5,1.5,3.9,73,1,0,38,3,1,18,2.9
300,420,363,378,378,4,4.44,4.33,1.38,3.8,131,5,1,27,11,2,20,3.2
225,490,463,356,389,4.4,4.56,4.44,1.5,4.7,8,3,0,167,6,1,25,4
425,500,388,367,278,3.8,4,4.22,1.75,4.8,1,1,0,472,19,1,18,2.9
163,340,350,322,456,4.2,3.67,4.67,1.75,3.8,73,2,0,162,12,1,20,3.5
175,380,263,322,344,3.6,4.22,4,1.5,4.1,35,1,1,199,20,2,21,2.9
325,350,413,267,444,4.8,4.11,4.44,1.5,4.5,2,3,0,227,49,2,18,3.2
138,380,388,411,311,4.8,4.78,4.78,1.5,4,36,16,1,616,31,1,19,3.8
375,330,300,311,311,3.6,3.67,4.22,1.5,3.6,0,1,0,97,11,1,18,3.1
338,500,338,367,222,4.4,4.56,4.22,2,4.7,45,22,1,172,18,2,19,3
313,370,288,344,300,4.2,3.56,3.67,2.5,4.1,79,25,2,240,11,2,20,3.2
350,370,288,400,300,4,4,4.78,2.25,4.1,31,5,0,117,11,1,19,2.8
250,280,400,311,256,4.4,3.78,4.56,1.5,3.4,5,6,0,280,9,1,20,3
313,380,288,322,244,3.4,3.33,3.44,2.63,3.7,347,2,6,89,17,2,18,2.3
363,320,250,367,278,4.2,4.33,4.44,1.88,4.2,24,6,3,154,41,2,19,2.7
350,420,300,367,311,3.4,3.78,3.33,3,4.5,550,29,7,216,10,2,18,2.7
300,390,363,456,367,4.2,4.44,4.11,1.5,4,7,1,0,134,22,1,21,3.5
338,390,325,289,333,3.6,4,4.56,2.5,3.6,42,7,0,187,27,2,21,3
175,140,200,322,500,1.8,3.22,4.78,1,1.8,26,3,7,418,10,1,22,3.6
475,330,275,222,178,3.4,3.89,4.22,1.63,4.2,5,1,0,45,6,2,19,2.9
300,390,325,378,367,4,4.11,4.22,2.13,4.3,20,11,0,209,34,2,20,3.6
313,270,313,356,378,4.2,4,4.22,2.13,3.3,30,12,2,223,26,2,19,3
338,350,300,244,344,4,3.89,4.44,1.63,3.9,0,2,0,181,14,2,19,3.1
238,440,413,400,444,4.6,4.67,5,1.5,4.8,66,16,0,527,26,2,21,3.7
375,380,388,344,389,4.2,4.56,4.78,1.13,4.5,15,10,0,200,35,2,20,3.2
163,460,463,433,422,5,4.89,4.22,1.38,4.2,6,2,0,167,21,1,19,3.6
288,450,475,344,267,4.8,4.33,4.67,1.25,4.6,73,1,0,128,6,2,19,3.7
350,400,338,400,322,4.6,4.22,4.89,1.5,3.9,20,13,6,186,7,2,21,3.8
300,480,413,389,344,4.4,4.22,3.67,1.75,4.7,24,22,0,328,30,2,19,2.9
313,360,388,367,356,4.8,4.11,4.56,2.38,4.8,8,7,0,380,54,2,18,3
