bfieh,bfiah,bfich,bfinh,bfioh,bfiae,bfiaa,bfiac,bfian,bfiao,wallposts,portraits,imp_avs,friends,likes_portrait,sex,age,selfesteem
425,244,378,300,440,5,2.89,4.78,2.25,4.6,175,54,2,155,21,2,19,3.9
350,433,300,238,330,4.2,4.44,4.44,2,4.1,41,16,0,337,30,2,19,3
250,411,400,438,450,5,4.78,4.89,1,4.5,15,7,0,219,56,2,18,2.6
325,300,322,250,450,4.2,3.56,4.33,1.63,4.9,439,3,1,85,11,2,19,2.4
400,278,400,450,380,4.4,4.56,4.56,1.25,4.7,1,5,0,236,42,2,20,3.6
400,389,322,288,380,4.2,3.78,4.11,2.13,4.1,31,4,0,115,15,1,20,2.3
250,322,267,313,360,4.2,4.44,4.67,1.63,4.3,10,4,0,133,57,2,17,2.3
150,267,311,275,200,2.8,2.44,4.22,1.5,3.7,0,2,4,91,13,2,19,2.2
413,311,322,338,440,4.8,4.33,4.67,2.13,4.5,2,8,0,421,53,2,20,3.7
425,356,411,275,390,4.6,3.89,4.67,1.88,4.3,1,8,0,687,76,2,18,3.6
375,389,344,200,450,4.2,3.56,4.22,1.13,4.7,9,6,1,261,19,1,19,3.4
450,267,333,313,440,3.6,3.33,4.89,1.25,3.9,251,20,0,126,18,2,19,3
338,378,222,375,410,4.4,4.33,4.44,2,4.5,0,9,1,95,13,2,18,3
250,378,311,338,430,3.4,4.33,4.11,2.13,4.7,18,7,0,399,53,2,19,2.9
313,411,244,225,360,3.8,3.67,4.44,2,3.8,11,4,0,274,6,1,23,2.7
363,433,433,250,330,4.2,4.33,4.44,1.75,3.7,116,30,0,430,24,2,20,3.3
313,433,400,363,300,4,4.33,4.44,1.88,3.8,3,17,0,201,28,2,18,3.5
163,311,333,338,310,4.2,3.67,4.78,1.25,3.8,25,3,1,159,14,1,24,3.2
450,389,356,250,470,4.4,4.11,4.89,1.38,4.5,81,23,0,298,28,2,19,3.8
263,378,400,313,450,4.4,4.22,4.89,1.5,3.8,7,13,4,119,5,2,18,3.1
338,356,389,288,380,3.8,4,4.78,1.63,4.3,344,24,1,314,14,2,18,3.5
388,344,311,325,420,4.4,4.22,4.78,1.88,4,180,14,2,191,20,2,22,3
400,467,467,288,390,4.6,4.78,4.67,1.5,4.4,22,3,0,180,32,2,20,2.8
225,278,256,375,300,3.4,4.22,4.33,2,4.1,3,1,0,417,12,1,19,2.6
425,344,367,300,310,5,3.89,4.33,1.5,3.8,32,12,0,363,42,2,19,3.5
413,333,289,350,430,4,3.89,4.33,1.5,4.4,84,1,2,139,7,2,20,3.2
250,356,433,213,390,4,4,4.56,1.38,4.5,173,9,1,224,29,2,20,3.9
375,378,267,313,350,4.6,4,5,1.63,4.8,27,2,0,64,27,1,20,3.4
288,322,333,138,350,3.8,4,4.56,1,4.1,20,6,1,58,17,2,19,3.5
363,433,467,275,390,4.6,4.33,4.89,1.63,4.4,286,57,1,282,26,2,19,3.5
338,378,256,375,360,3.8,4.44,4.67,1.75,4.3,4,4,0,269,40,2,21,2.3
188,378,267,388,420,4,4.67,4,1.25,4.6,1,3,4,123,15,1,20,2.8
300,422,333,238,320,4.6,3.89,4.11,3,4.1,1,2,0,260,30,1,19,3.3
425,344,333,338,350,4.4,3.67,4.44,1.75,3.8,1,13,0,199,45,2,19,3.4
400,411,378,300,310,5,4.78,4.78,2.25,3.9,30,7,0,322,59,2,19,3
338,344,311,325,370,3.8,3.89,4.11,1.5,4.3,3,2,0,198,25,1,18,2.8
363,356,356,288,490,4,3.89,4.67,1.38,4.5,22,3,0,458,96,2,20,3.3
313,367,333,163,430,4,4,4.33,1.63,4.4,21,3,0,248,41,2,19,3
150,333,267,288,350,4,4.44,4.56,1.38,4.4,162,4,9,136,21,2,19,2.3
263,367,333,325,300,3.8,3.67,4.56,1.38,3.7,140,25,1,419,11,2,22,2.9
338,367,400,338,420,4.6,4.44,4.78,2.13,4.2,53,11,0,395,57,2,20,3.2
450,267,222,275,380,3.8,3.56,4.11,1.88,3.9,15,8,1,139,7,1,20,3.4
300,389,411,463,400,4.2,4.67,4.67,2.13,4.3,795,42,0,273,12,2,20,2.5
350,378,322,250,480,4,4,4.78,1.5,4.1,24,26,0,574,66,2,20,3
413,389,322,350,370,3.8,4,4,1.5,4.2,15,5,2,120,10,2,19,3.2
363,300,300,350,410,4,3.89,4.67,1.88,4.1,117,29,4,489,19,2,20,1.9
338,344,267,188,300,4.2,3,3.89,1.88,3.7,1,3,0,94,18,1,21,2.5
300,378,389,288,430,3.8,3.44,4.44,1.38,4.4,28,5,4,120,14,2,22,3.5
375,367,311,263,410,4.2,4,4.33,1.88,4.4,54,9,0,310,31,2,19,3.2
350,356,400,300,410,4.4,4,4.89,2.13,4.5,23,12,1,405,62,2,19,3.4
288,300,289,313,260,4.4,3.89,4.33,1.5,3.8,73,3,0,106,46,2,18,3.1
350,333,344,338,290,4.2,3.89,4.33,2.25,3.7,2,1,0,228,28,2,19,2.8
375,433,411,325,400,4.2,4.44,4.33,1.88,4.5,156,41,12,125,12,2,22,3
425,389,322,288,430,5,4.11,4.56,1.38,4.2,73,1,0,332,28,1,21,3.3
325,367,222,300,290,4,4.33,3.89,2.13,4.5,3,5,0,226,7,1,17,3.2
150,256,278,488,230,3.2,4,4.56,1.5,3.7,97,3,3,143,9,1,21,1.7
338,289,400,388,210,4.8,3.67,4.89,1.63,4,69,5,0,225,8,1,20,3
263,378,333,250,270,4.6,4.11,5,1.75,4.3,3,7,0,172,47,2,18,3.8
300,378,311,350,370,4.4,4.89,4.89,1.75,4.6,5,7,1,199,19,2,21,3.4
388,467,267,200,440,4.6,4.67,4,1.38,4.5,0,2,0,107,8,2,18,3.4
325,344,356,338,410,4.4,4,4.22,2,4.2,24,29,1,152,23,2,19,3.1
275,344,289,188,250,4,3.44,4.22,1.75,3.4,55,34,0,433,37,2,20,2.8
363,333,367,213,300,4.2,4.11,4.22,1.63,3.5,26,3,0,467,42,1,19,3.4
163,411,300,388,410,3,4.11,4.11,2.13,4.7,53,2,2,123,12,2,20,2.3
388,311,333,488,420,5,4.67,4.56,1.25,4.3,15,21,0,261,18,2,18,3.2
463,244,278,338,390,5,4.22,4.89,1,4.8,20,9,0,277,7,1,21,3.8
300,344,300,338,400,4.8,4,4.33,1.5,4.4,90,6,1,223,33,2,21,2.7
238,311,289,275,370,4,4.56,5,1.5,3.9,73,1,0,38,3,1,18,2.9
363,378,378,300,420,4,4.44,4.33,1.38,3.8,131,5,1,27,11,2,20,3.2
463,356,389,225,490,4.4,4.56,4.44,1.5,4.7,8,3,0,167,6,1,25,4
388,367,278,425,500,3.8,4,4.22,1.75,4.8,1,1,0,472,19,1,18,2.9
350,322,456,163,340,4.2,3.67,4.67,1.75,3.8,73,2,0,162,12,1,20,3.5
263,322,344,175,380,3.6,4.22,4,1.5,4.1,35,1,1,199,20,2,21,2.9
413,267,444,325,350,4.8,4.11,4.44,1.5,4.5,2,3,0,227,49,2,18,3.2
388,411,311,138,380,4.8,4.78,4.78,1.5,4,36,16,1,616,31,1,19,3.8
